Brand,Model,Item condition,Price,Year of Production,Mileage,Engine Capacity,Quantity,Showroom
Toyota,Corolla,USED,80000.0,2022,10.0,1700.0,0,Salon Warszawa
Ford,Focus,NEW,50000.0,2019,50000.0,2300.0,1,Salon Warszawa
Audi,SQ8,DAMAGED,399750.0,2021,24000.0,2340.0,1,Salon Warszawa
Audi,S6,USED,210000.0,2018,68500.0,3210.0,0,Salon Warszawa
Audi,RS7,NEW,253000.0,2016,112013.0,1930.0,1,Salon Warszawa
Volkswagen,Golf,USED,90000.0,2021,5.0,1500.0,2,Salon Kraków
Honda,Civic,NEW,75000.0,2018,30000.0,3400.0,2,Salon Kraków
Mercedes-Benz,EQS,USED,418100.0,2023,1.0,1520.0,1,Salon Kraków
BMW,M8,DAMAGED,630000.0,2023,9300.0,4920.0,2,Salon Kraków
Porsche,718 Cayman,NEW,849000.0,2023,15693.0,2525.0,1,Salon Kraków
Nissan,GT-R Premium,USED,528029.0,2015,3388000.0,3800.0,4,Salon Lublin
Lamborghini,Aventador,USED,1766210.0,2019,8500.0,12000.0,2,Salon Lublin
Nissan,Skyline,USED,200000.0,1996,213000.0,2568.0,1,Salon Lublin
Toyota,Supra,NEW,259999.0,2021,16000.0,2998.0,1,Salon Lublin
Ford,Mustang,NEW,325000.0,2023,200.0,5038.0,1,Salon Lublin
Ferrari,488,NEW,1099900.0,2018,25370.0,3902.0,2,Salon Olsztyn
Ferrari,812 Superfast,USED,1499000.0,2019,9600.0,6496.0,1,Salon Olsztyn
Fiat,Seicento,NEW,3200.0,2000,170000.0,899.0,4,Salon Wadowice
Porsche,911 GT3,DAMAGED,1213918.0,2024,10.0,3996.0,1,Salon Wadowice
